food_id,ingredient_name,quantity_other,quantity_oz,price
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",10 biscuits,20.4,4.79
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",16 rolls,24.8,5.99
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",12 ct,2.75,16.49
167515,"George Weston Bakeries, Thomas English Muffins",6 ct,13,3.99
167516,"Waffles, buttermilk, frozen, ready-to-heat",24 ct,29.6,4.49
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",24 ct,29.6,4.49
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",24 ct,29.6,4.49
167519,"Waffle, plain, frozen, ready-to-heat, microwave",10 ct,12.3,2.49
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",9 in,6,3.69
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",9 in,6,3.69
167522,"Pie, Dutch Apple, Commercially Prepared",,37.01,7.49
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",2 ct,6,3.99
167524,"Waffles, chocolate chip, frozen, ready-to-heat",8 ct,10.72,6.49
167525,"Tostada shells, corn",30 ct,,2.49
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",,10,3.49
167527,"Bread, pound cake type, pan de torta salvadoran",,30,7.99
167528,"Pastry, Pastelitos de Guava (guava pastries)",,,
167529,"Crackers, snack, Goya Crackers",8 ct,1.42,3.99
167530,"Crackers, cream, Gamesa Sabrosas",,7.5,4.39
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",,7.5,4.39
167532,"Bread, white wheat",16.0 ounce,,6.79
167533,"Bagels, wheat",6 ct,13,1.69
167534,"Cream puff, eclair, custard or cream filled, iced",,,
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",,,
167536,"Snacks, beef jerky, chopped and formed",,2.5,5.99
167537,"Snacks, corn-based, extruded, chips, plain",,12,7.29
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",,,
167539,"Snacks, corn-based, extruded, cones, plain",,12,7.29
167540,"Snacks, fruit leather, pieces",,,
167541,"Snacks, fruit leather, rolls",,,
167542,"Snacks, granola bars, hard, plain",8 ct,,3.49
167543,"Snacks, granola bars, hard, almond",8 ct,,3.49
167544,"Snacks, granola bars, soft, uncoated, raisin",8 ct,,3.49
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",8 ct,,3.49
167546,"Candies, honey-combed, with peanut butter",,,
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",8 ct,,3.49
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",8 ct,,3.49
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",,12,7.29
167550,"Snacks, popcorn, cakes",,12,7.29
167551,"Snacks, popcorn, caramel-coated, with peanuts",,12,7.29
167552,"Snacks, popcorn, caramel-coated, without peanuts",,12,7.29
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",,5.5,2.49
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",,5.5,2.49
167555,"Snacks, pretzels, hard, plain, salted",,5,3.99
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",,5,3.99
167557,"Snacks, rice cakes, brown rice, sesame seed",,3,2.59
167558,"Snacks, tortilla chips, plain, white corn, salted",,9,2.99
167559,"Snacks, tortilla chips, nacho cheese",,9,2.99
167560,"Snacks, tortilla chips, ranch-flavor",,9,2.99
167561,"Snacks, trail mix, regular",,4,4.99
167562,"Candies, ALMOND JOY Candy Bar",,1.61,1.99
167563,"Candies, TWIZZLERS CHERRY BITES",,16,4.49
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",,1.4,2.49
167565,"Candies, NESTLE, BUTTERFINGER Bar",,14,4.79
167566,"Candies, caramels, chocolate-flavor roll",,12,3.79
167567,"Baking chocolate, unsweetened, liquid",,8,7.99
167568,"Baking chocolate, unsweetened, squares",,8,7.99
167569,"Candies, confectioner's coating, yogurt",30 ct,,5.99
167570,"Candies, confectioner's coating, peanut butter",30 ct,,5.99
167571,"Candies, white chocolate",1 bar,4.4,5.99
167572,"Ice creams, vanilla, light",,48,2.99
167573,"Ice creams, vanilla, rich",,48,2.99
167574,"Desserts, flan, caramel custard, prepared-from-recipe",1.5 lb,24,4.99
167575,"Ice creams, vanilla",,48,2.99
167576,"Ice creams, vanilla, light, soft-serve",,48,2.99
167577,"Sherbet, orange",,16,2.29
167578,"Candies, fudge, peanut butter, prepared-from-recipe",14 fo,,3.99
167579,"Candies, fudge, vanilla, prepared-from-recipe",14 fo,,3.99
167580,"Candies, fudge, vanilla with nuts",14 fo,,3.99
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",,14,4.79
167582,"Candies, NESTLE, BABY RUTH Bar",,14,4.79
167583,"Candies, TWIZZLERS Strawberry Twists Candy",,5,3.29
167584,"Syrups, table blends, pancake, with butter",24 oza,,4.79
167585,"Ice creams, chocolate, light",8 ct,,9.29
167586,"Candies, NESTLE, CHUNKY Bar",,14,4.79
167587,"Candies, milk chocolate",1 bag,5.1,6.49
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",,5.1,2.49
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",,5.1,2.49
167590,"Andrea's, Gluten Free Soft Dinner Roll",,18,7.29
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",6 ct,0.75,7.99
